best_dev_sent_f1,best_dev_act_f1,best_test_sent_f1,best_test_act_f1,best_dev_test_sent_f1,best_dev_test_act_f1,learning rate,l2,dropout,hidden_dim,batch size,num_base,stack_num,margin_coefficient,random_wordvec
45.252,0.0,51.775,79.646,49.915,79.625,0.001,1e-08,0.4,300,16,-1,3,0.0001,False
42.98,78.832,50.18,79.684,46.712,79.099,0.001,1e-08,0.5,300,16,-1,3,0.0001,False
43.251,77.225,49.903,79.088,48.338,79.088,0.001,1e-08,0.07,300,16,-1,2,0.001,False
41.223,77.243,49.339,79.1,49.339,79.1,0.001,1e-08,0.07,300,16,-1,3,0.001,False
41.118,77.787,48.544,78.816,46.788,78.816,0.001,1e-08,0.07,300,16,-1,1,0.001,False
40.301,77.671,49.48,79.168,49.48,79.168,0.001,1e-08,0.1,300,16,-1,1,0.001,False
41.644,78.867,50.516,78.956,49.203,78.956,0.001,1e-08,0.14,300,16,-1,1,0.001,False
41.173,76.866,49.998,78.443,48.238,78.443,0.001,1e-08,0.1,300,16,-1,3,0.001,False
41.991,76.798,48.988,79.353,48.988,79.184,0.001,1e-08,0.1,300,16,-1,2,0.001,False
40.065,77.398,49.163,79.337,47.134,79.337,0.001,1e-08,0.14,300,16,-1,2,0.001,False
39.884,77.591,47.348,78.827,46.94,78.827,0.001,1e-08,0.2,300,16,-1,1,0.001,False
40.268,77.608,49.255,79.186,49.255,79.186,0.001,1e-08,0.2,300,16,-1,2,0.001,False
40.402,76.691,49.064,79.296,49.064,79.296,0.001,1e-08,0.14,300,16,-1,3,0.001,False
41.033,76.805,50.421,79.338,48.278,79.338,0.001,1e-08,0.2,300,16,-1,3,0.001,False
43.493,78.696,51.087,79.929,45.843,79.929,0.001,1e-08,0.3,300,16,-1,2,0.001,False
43.033,78.737,48.707,79.172,47.314,79.16,0.001,1e-08,0.3,300,16,-1,3,0.001,False
43.168,77.654,51.729,79.544,48.142,79.544,0.001,1e-08,0.3,300,16,-1,1,0.001,False
43.272,0.0,50.765,79.934,50.504,79.656,0.001,1e-08,0.4,300,16,-1,1,0.001,False
44.757,78.564,51.128,79.817,49.78,79.817,0.001,1e-08,0.5,300,16,-1,1,0.001,False
44.62,79.02,51.865,79.302,47.581,79.162,0.001,1e-08,0.4,300,16,-1,3,0.001,False
42.537,78.975,50.564,79.605,48.326,79.604,0.001,1e-08,0.4,300,16,-1,2,0.001,False
45.255,79.169,52.076,79.828,47.834,79.828,0.001,1e-08,0.5,300,16,-1,2,0.001,False
44.345,0.0,47.529,78.68,46.095,78.68,0.001,1e-08,0.07,300,16,-1,1,0.01,False
38.428,77.315,48.635,79.612,48.635,79.612,0.001,1e-08,0.07,300,16,-1,2,0.01,False
43.251,0.0,49.809,79.656,47.331,79.179,0.001,1e-08,0.5,300,16,-1,3,0.001,False
41.739,76.963,48.24,78.963,48.24,78.963,0.001,1e-08,0.07,300,16,-1,3,0.01,False
40.66,77.074,50.209,79.394,49.227,79.394,0.001,1e-08,0.1,300,16,-1,2,0.01,False
42.032,0.0,49.667,78.79,49.667,78.769,0.001,1e-08,0.1,300,16,-1,3,0.01,False
41.54,77.537,48.321,79.101,48.31,79.101,0.001,1e-08,0.1,300,16,-1,1,0.01,False
41.097,77.679,49.003,79.61,48.608,79.61,0.001,1e-08,0.14,300,16,-1,1,0.01,False
41.038,78.488,47.784,79.439,47.784,79.141,0.001,1e-08,0.2,300,16,-1,1,0.01,False
41.769,0.0,49.974,78.979,48.818,78.979,0.001,1e-08,0.14,300,16,-1,3,0.01,False
42.204,77.534,50.019,79.399,47.132,79.399,0.001,1e-08,0.14,300,16,-1,2,0.01,False
41.404,77.627,50.46,79.65,46.925,79.65,0.001,1e-08,0.2,300,16,-1,2,0.01,False
44.188,79.08,50.594,79.819,45.856,79.819,0.001,1e-08,0.3,300,16,-1,2,0.01,False
42.784,77.797,50.359,79.406,50.359,79.406,0.001,1e-08,0.3,300,16,-1,1,0.01,False
