best_dev_sent_f1,best_dev_act_f1,best_test_sent_f1,best_test_act_f1,best_dev_test_sent_f1,best_dev_test_act_f1,learning rate,l2,dropout,hidden_dim,batch size,num_base,stack_num,margin_coefficient
69.737,70.336,56.775,61.871,56.453,58.815,0.001,1e-08,0.3,200,16,-1,5,5
61.993,71.937,53.749,60.4,52.971,57.449,0.001,1e-08,0.5,200,16,-1,1,4
67.614,70.716,56.025,61.345,56.025,59.481,0.001,1e-08,0.4,200,16,-1,5,4
65.766,71.672,54.933,61.087,54.933,56.329,0.001,1e-08,0.4,200,16,-1,3,5
64.234,71.162,53.714,60.846,52.516,57.137,0.001,1e-08,0.5,200,16,-1,4,4
64.897,66.391,55.097,61.524,53.629,59.548,0.001,1e-08,0.5,200,16,-1,3,4
67.321,68.33,54.286,62.11,54.286,58.556,0.001,1e-08,0.5,200,16,-1,1,5
65.097,70.045,57.281,61.093,57.281,55.652,0.001,1e-08,0.1,200,16,-1,2,5
67.852,69.993,56.328,60.635,56.328,57.443,0.001,1e-08,0.1,200,16,-1,1,5
65.357,70.565,54.626,61.488,54.626,59.804,0.001,1e-08,0.5,200,16,-1,4,5
69.205,69.375,55.198,61.359,53.54,61.217,0.001,1e-08,0.1,200,16,-1,5,5
74.887,74.185,56.985,59.878,56.103,57.075,0.001,1e-08,0.1,100,16,-1,2,1
69.599,71.29,56.716,61.486,55.728,58.901,0.001,1e-08,0.1,200,16,-1,4,5
67.495,69.744,55.403,61.326,55.348,57.955,0.001,1e-08,0.2,200,16,-1,3,5
73.728,73.252,56.205,60.779,56.205,55.857,0.001,1e-08,0.1,100,16,-1,5,1
68.891,71.994,57.662,61.396,57.662,58.663,0.001,1e-08,0.2,200,16,-1,2,5
65.249,69.111,57.469,61.257,54.766,59.308,0.001,1e-08,0.3,200,16,-1,1,5
71.658,70.193,55.645,60.924,55.645,58.323,0.001,1e-08,0.2,100,16,-1,3,1
67.112,73.869,56.416,60.974,56.416,58.638,0.001,1e-08,0.2,200,16,-1,5,5
70.196,69.405,57.191,61.577,56.875,58.715,0.001,1e-08,0.3,100,16,-1,1,1
66.349,70.917,56.83,61.502,55.243,60.09,0.001,1e-08,0.3,200,16,-1,4,5
69.039,71.982,55.516,62.387,55.048,57.043,0.001,1e-08,0.3,200,16,-1,3,5
71.766,74.283,57.664,60.367,56.842,57.144,0.001,1e-08,0.3,100,16,-1,4,1
64.668,72.649,57.158,61.456,57.158,58.663,0.001,1e-08,0.4,200,16,-1,2,5
65.315,61.74,54.95,60.044,54.95,57.614,0.001,1e-08,0.4,200,16,-1,1,5
72.619,71.773,56.911,58.828,56.363,56.493,0.001,1e-08,0.4,100,16,-1,2,1
66.659,73.338,58.101,61.339,58.101,57.345,0.001,1e-08,0.4,200,16,-1,5,5
61.33,71.266,55.543,60.864,54.921,58.745,0.001,1e-08,0.4,200,16,-1,4,5
70.427,71.683,57.141,59.565,57.141,56.105,0.001,1e-08,0.4,100,16,-1,5,1
58.066,71.84,53.488,62.799,52.753,58.009,0.001,1e-08,0.5,200,16,-1,3,5
